DICOM Location,Cluster Label
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0038.2015.12.22.18.10.55.420810.358279277.IMA,2
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0330.2015.12.22.18.10.55.420810.358286285.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0301.2015.12.22.18.10.55.420810.358285589.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0355.2015.12.22.18.10.55.420810.358286885.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0040.2015.12.22.18.10.55.420810.358279325.IMA,2
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0010.2015.12.22.18.10.55.420810.358276555.IMA,2
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0435.2015.12.22.18.10.55.420810.358288805.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0137.2015.12.22.18.10.55.420810.358281653.IMA,0
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0472.2015.12.22.18.10.55.420810.358289693.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0550.2015.12.22.18.10.55.420810.358292920.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0505.2015.12.22.18.10.55.420810.358291840.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0497.2015.12.22.18.10.55.420810.358290293.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0492.2015.12.22.18.10.55.420810.358290173.IMA,1
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0245.2015.12.22.18.10.55.420810.358284245.IMA,0
/root/mayo2016/L067/quarter_1mm/L067_QD_1_1.CT.0003.0100.2015.12.22.18.10.55.420810.358280765.IMA,0
